state,x,y
Andhra Pradesh,-55,-118
Arunachal Pradesh,186,138
Assam,159,101
Bihar,45,78
Chhattisgarh,-14,-1
Goa,-138,-109
Gujarat,-185,24
Haryana,-103,132
Himachal Pradesh,-40,140
Jharkhand,38,40
Karnataka,20,-150
Kerala,-98,-198
Madhya Pradesh,-74,27
Maharashtra,-116,-32
Manipur,187,72
Meghalaya,136,83
Mizoram,172,42
Nagaland,193,100
Odisha,37,-9
Punjab,-120, 163
Rajasthan,-150,90
Sikkim,88,117
Tamil Nadu,-64, -191
Telangana,-57,-60
Tripura,147,52
Uttar Pradesh,-32,90
Uttarakhand,-91,181
West Bengal,85,33
Delhi,-88,116
Chandigarh,-80,130
Jammu And Kashmir,-104,227
Ladakh,-60,200
Puducherry,-31,-158
Andaman and Nicobar Islands,187,-168
Lakshadweep,-166,-193
Dadra and Nagar Haveli and Daman and Diu,-130,-120
